date,mktrf,smb,hml,rmw,cma,rf
2022-01-03,0.0072,0.0044,0.0077,-0.0117,0.0053,0.0
2022-01-04,-0.0027,-0.0006,0.0364,0.0064,0.0156,0.0
2022-01-05,-0.0226,-0.0093,0.0258,0.0141,0.0129,0.0
2022-01-06,0.0,0.0038,0.0176,-0.0056,0.0001,0.0
2022-01-07,-0.0049,-0.0096,0.0202,-0.0013,0.0085,0.0
2022-01-10,-0.0014,-0.0031,-0.0027,-0.0006,-0.0036,0.0
2022-01-11,0.0108,-0.002,-0.0027,-0.0124,0.0035,0.0
2022-01-12,0.0013,-0.0085,0.0052,0.0077,0.0029,0.0
2022-01-13,-0.0155,0.0088,0.0239,0.0118,0.0104,0.0
2022-01-14,0.0008,0.0005,0.0055,-0.0085,0.0052,0.0
2022-01-18,-0.0207,-0.009,0.0138,0.0079,0.0098,0.0
2022-01-19,-0.0102,-0.0036,-0.0067,0.0025,0.001,0.0
2022-01-20,-0.0115,-0.0084,-0.0023,-0.0031,0.0009,0.0
2022-01-21,-0.0209,0.0039,0.0047,0.0103,0.0054,0.0
2022-01-24,0.0054,0.0175,-0.0025,-0.0006,-0.0067,0.0
2022-01-25,-0.0142,-0.0018,0.028,-0.0079,0.0162,0.0
2022-01-26,-0.0029,-0.0106,0.001,0.0042,-0.0002,0.0
2022-01-27,-0.0076,-0.0146,0.0083,0.0105,0.0092,0.0
2022-01-28,0.0246,-0.0062,-0.0208,0.0016,0.0016,0.0
2022-01-31,0.0232,0.007,-0.0287,-0.0182,-0.0167,0.0
2022-02-01,0.0087,0.0012,0.0065,-0.011,0.0033,0.0
2022-02-02,0.0051,-0.0158,0.007,0.015,0.0051,0.0
2022-02-03,-0.0249,0.0046,0.0219,0.0043,0.0136,0.0
2022-02-04,0.0089,-0.003,-0.006,-0.0173,-0.012,0.0
2022-02-07,-0.0024,0.0067,0.002,-0.0071,-0.0001,0.0
2022-02-08,0.0102,0.0073,-0.0029,0.0093,-0.0042,0.0
2022-02-09,0.016,0.0002,-0.0196,-0.011,-0.0026,0.0
2022-02-10,-0.0169,0.0002,0.0123,-0.0056,0.0027,0.0
2022-02-11,-0.0191,0.0092,0.0213,-0.002,0.0143,0.0
2022-02-14,-0.0035,0.0008,-0.0062,0.0069,-0.0018,0.0
2022-02-15,0.0185,0.0102,-0.0141,-0.0068,-0.0081,0.0
2022-02-16,-0.0002,0.0004,0.0032,0.0061,0.0042,0.0
2022-02-17,-0.0229,-0.0005,0.0115,0.0088,0.0147,0.0
2022-02-18,-0.0085,0.0012,0.0095,0.0107,0.0044,0.0
2022-02-22,-0.0117,-0.0036,0.0009,-0.0004,0.0017,0.0
2022-02-23,-0.0196,0.0006,0.0125,0.0002,0.0107,0.0
2022-02-24,0.0187,0.0069,-0.0388,-0.0179,-0.018,0.0
2022-02-25,0.0224,-0.0014,0.0119,0.0036,-0.0019,0.0
2022-02-28,0.0003,0.0039,-0.0046,-0.008,0.0025,0.0
2022-03-01,-0.0155,-0.0028,-0.0085,-0.0041,0.0054,0.0
2022-03-02,0.0182,0.0063,0.013,0.0052,0.0047,0.0
2022-03-03,-0.0086,-0.0022,0.0151,0.0125,0.0125,0.0
2022-03-04,-0.0109,-0.0052,0.0072,0.0037,0.0123,0.0
2022-03-07,-0.0314,0.0073,0.0089,-0.0069,0.0135,0.0
2022-03-08,-0.0053,0.01,0.003,-0.0112,-0.0024,0.0
2022-03-09,0.0279,0.0001,-0.0217,-0.0041,-0.0158,0.0
2022-03-10,-0.0047,0.003,0.0118,-0.0033,0.0034,0.0
2022-03-11,-0.0148,-0.0012,0.0176,0.0097,0.0064,0.0
2022-03-14,-0.0104,-0.0084,0.0179,0.0219,0.001,0.0
2022-03-15,0.0215,-0.0049,-0.0237,0.0077,-0.0099,0.0
2022-03-16,0.026,0.0044,-0.0185,-0.0116,-0.0158,0.0
2022-03-17,0.0142,0.0016,-0.0106,-0.0161,-0.002,0.0
2022-03-18,0.0132,-0.0019,-0.0187,-0.0055,-0.0084,0.0
2022-03-21,-0.0017,-0.0094,0.0164,-0.002,0.0155,0.0
2022-03-22,0.013,-0.0022,-0.0119,-0.0082,-0.0103,0.0
2022-03-23,-0.0126,-0.0062,0.004,-0.0051,0.0152,0.0
2022-03-24,0.0142,-0.0032,-0.0082,-0.0048,-0.0013,0.0
2022-03-25,0.0028,-0.003,0.0219,0.002,0.0137,0.0
2022-03-28,0.0073,-0.0087,-0.0172,0.0051,-0.0124,0.0
2022-03-29,0.0143,0.0119,-0.0192,-0.0032,-0.0099,0.0
2022-03-30,-0.0082,-0.0112,0.004,0.0037,0.0092,0.0
2022-03-31,-0.0154,0.0062,-0.0045,-0.0022,0.004,0.0
2022-04-01,0.0039,0.0058,-0.0061,-0.0092,0.0005,0.0
2022-04-04,0.0093,-0.0056,-0.0186,-0.0077,-0.007,0.0
2022-04-05,-0.0153,-0.0072,0.0082,0.0069,0.0015,0.0
2022-04-06,-0.0123,-0.003,0.0108,0.0023,0.0088,0.0
2022-04-07,0.0034,-0.0061,-0.0012,0.0037,0.003,0.0
2022-04-08,-0.0038,-0.0053,0.0227,0.0037,0.0104,0.0
2022-04-11,-0.0154,0.0062,0.0105,0.0046,0.001,0.0
2022-04-12,-0.0029,0.0056,0.0047,-0.0024,0.0107,0.0
2022-04-13,0.0139,0.0061,-0.0071,-0.01,0.0,0.0
2022-04-14,-0.0128,0.0032,0.0143,0.0017,0.0098,0.0
2022-04-18,-0.0019,-0.0058,0.018,0.0077,0.0067,0.0
2022-04-19,0.0176,0.004,-0.0097,0.0054,-0.0126,0.0
2022-04-20,-0.0027,0.005,0.0126,0.0077,0.0118,0.0
2022-04-21,-0.0173,-0.0056,0.0041,0.0179,0.0044,0.0
2022-04-22,-0.0274,0.0026,-0.0018,-0.0015,-0.0021,0.0
2022-04-25,0.007,0.0012,-0.0186,0.0011,-0.0111,0.0
2022-04-26,-0.0299,-0.0036,0.018,0.0024,0.0125,0.0
2022-04-27,0.0013,-0.0056,0.0034,0.0014,0.008,0.0
2022-04-28,0.0245,-0.0052,-0.0042,0.0048,0.0005,0.0
2022-04-29,-0.0354,0.0088,0.0061,-0.0024,0.0068,0.0
2022-05-02,0.008,0.0038,-0.0116,-0.0063,-0.0135,1e-05
2022-05-03,0.0041,0.0016,0.0165,0.0001,0.0119,1e-05
2022-05-04,0.0301,-0.0047,0.0024,0.0002,0.0007,1e-05
2022-05-05,-0.038,-0.0023,0.0237,0.0059,0.0122,1e-05
