id,t0_call,quarter,CAR_call_0_1,CAR_call_-1_1,CAR_call_0_2
MU,2025-09-24,2025Q3,0.0,0.0,0.0
MU,2025-09-24,2025Q3,0.0,0.0,0.0
AZO,2025-09-24,2025Q3,0.0,0.0,0.0
LEN,2025-09-22,2025Q3,0.0,0.0,0.0
FDX,2025-09-19,2025Q3,0.0,0.0,0.0
FDS,2025-09-19,2025Q3,0.0,0.0,0.0
DRI,2025-09-19,2025Q3,0.0,0.0,0.0
GIS,2025-09-18,2025Q3,0.0,0.0,0.0
ADBE,2025-09-12,2025Q3,0.0,0.0,0.0
KR,2025-09-12,2025Q3,0.0,0.0,0.0
ORCL,2025-09-10,2025Q3,0.0,0.0,0.0
SNPS,2025-09-10,2025Q3,0.0,0.0,0.0
CPRT,2025-09-05,2025Q3,0.0,0.0,0.0
AVGO,2025-09-05,2025Q3,0.0,0.0,0.0
LULU,2025-09-05,2025Q3,0.0,0.0,0.0
HPE,2025-09-04,2025Q3,0.0,0.0,0.0
CRM,2025-09-04,2025Q3,0.0,0.0,0.0
DLTR,2025-09-04,2025Q3,0.0,0.0,0.0
CPB,2025-09-04,2025Q3,0.0,0.0,0.0
ADSK,2025-08-29,2025Q3,0.0,0.0,0.0
DELL,2025-08-29,2025Q3,0.0,0.0,0.0
ULTA,2025-08-29,2025Q3,0.0,0.0,0.0
BF.B,2025-08-29,2025Q3,,,
DG,2025-08-29,2025Q3,0.0,0.0,0.0
HRL,2025-08-29,2025Q3,0.0,0.0,0.0
BBY,2025-08-29,2025Q3,0.0,0.0,0.0
NTAP,2025-08-28,2025Q3,0.0,0.0,0.0
CRWD,2025-08-28,2025Q3,0.0,0.0,0.0
NVDA,2025-08-28,2025Q3,0.0,0.0,0.0
COO,2025-08-28,2025Q3,0.0,0.0,0.0
A,2025-08-28,2025Q3,0.0,0.0,0.0
HPQ,2025-08-28,2025Q3,0.0,0.0,0.0
WSM,2025-08-28,2025Q3,0.0,0.0,0.0
SJM,2025-08-28,2025Q3,0.0,0.0,0.0
SJM,2025-08-27,2025Q3,0.0,0.0,0.0
INTU,2025-08-22,2025Q3,0.0,0.0,0.0
WDAY,2025-08-22,2025Q3,0.0,0.0,0.0
ROST,2025-08-22,2025Q3,0.0,0.0,0.0
NDSN,2025-08-22,2025Q3,0.0,0.0,0.0
WMT,2025-08-22,2025Q3,0.0,0.0,0.0
TJX,2025-08-21,2025Q3,0.0,0.0,0.0
ADI,2025-08-21,2025Q3,0.0,0.0,0.0
LOW,2025-08-21,2025Q3,0.0,0.0,0.0
JKHY,2025-08-21,2025Q3,0.0,0.0,0.0
EL,2025-08-21,2025Q3,0.0,0.0,0.0
TGT,2025-08-21,2025Q3,0.0,0.0,0.0
KEYS,2025-08-20,2025Q3,0.0,0.0,0.0
HD,2025-08-20,2025Q3,0.0,0.0,0.0
MDT,2025-08-20,2025Q3,0.0,0.0,0.0
PANW,2025-08-19,2025Q3,0.0,0.0,0.0
AMAT,2025-08-15,2025Q3,0.0,0.0,0.0
DE,2025-08-15,2025Q3,0.0,0.0,0.0
AMCR,2025-08-15,2025Q3,0.0,0.0,0.0
TPR,2025-08-15,2025Q3,0.0,0.0,0.0
CSCO,2025-08-14,2025Q3,0.0,0.0,0.0
CAH,2025-08-13,2025Q3,0.0,0.0,0.0
LNT,2025-08-11,2025Q3,0.0,0.0,0.0
EOG,2025-08-11,2025Q3,0.0,0.0,0.0
ERIE,2025-08-08,2025Q3,0.0,0.0,0.0
XYZ,2025-08-08,2025Q3,,,
GEN,2025-08-08,2025Q3,0.0,0.0,0.0
GDDY,2025-08-08,2025Q3,0.0,0.0,0.0
LYV,2025-08-08,2025Q3,0.0,0.0,0.0
MCHP,2025-08-08,2025Q3,0.0,0.0,0.0
MNST,2025-08-08,2025Q3,0.0,0.0,0.0
MSI,2025-08-08,2025Q3,0.0,0.0,0.0
TTD,2025-08-08,2025Q3,0.0,0.0,0.0
AKAM,2025-08-08,2025Q3,0.0,0.0,0.0
EXPE,2025-08-08,2025Q3,0.0,0.0,0.0
GILD,2025-08-08,2025Q3,0.0,0.0,0.0
SOLV,2025-08-08,2025Q3,0.0,0.0,0.0
TTWO,2025-08-08,2025Q3,0.0,0.0,0.0
WYNN,2025-08-08,2025Q3,0.0,0.0,0.0
OXY,2025-08-08,2025Q3,0.0,0.0,0.0
COP,2025-08-08,2025Q3,0.0,0.0,0.0
SRE,2025-08-08,2025Q3,0.0,0.0,0.0
APA,2025-08-08,2025Q3,0.0,0.0,0.0
CF,2025-08-08,2025Q3,0.0,0.0,0.0
PH,2025-08-08,2025Q3,0.0,0.0,0.0
TRGP,2025-08-08,2025Q3,0.0,0.0,0.0
TPL,2025-08-08,2025Q3,0.0,0.0,0.0
ATO,2025-08-08,2025Q3,0.0,0.0,0.0
CEG,2025-08-08,2025Q3,0.0,0.0,0.0
MLM,2025-08-08,2025Q3,0.0,0.0,0.0
CTVA,2025-08-08,2025Q3,0.0,0.0,0.0
EVRG,2025-08-08,2025Q3,0.0,0.0,0.0
MET,2025-08-08,2025Q3,0.0,0.0,0.0
RL,2025-08-08,2025Q3,0.0,0.0,0.0
STE,2025-08-08,2025Q3,0.0,0.0,0.0
VST,2025-08-08,2025Q3,0.0,0.0,0.0
AIG,2025-08-08,2025Q3,0.0,0.0,0.0
LLY,2025-08-08,2025Q3,0.0,0.0,0.0
KVUE,2025-08-08,2025Q3,0.0,0.0,0.0
VTRS,2025-08-08,2025Q3,0.0,0.0,0.0
ZBH,2025-08-08,2025Q3,0.0,0.0,0.0
BDX,2025-08-08,2025Q3,0.0,0.0,0.0
DDOG,2025-08-08,2025Q3,0.0,0.0,0.0
EPAM,2025-08-08,2025Q3,0.0,0.0,0.0
PODD,2025-08-08,2025Q3,0.0,0.0,0.0
WBD,2025-08-08,2025Q3,0.0,0.0,0.0
CPAY,2025-08-07,2025Q3,0.0,0.0,0.0
APP,2025-08-07,2025Q3,,,
DASH,2025-08-07,2025Q3,0.0,0.0,0.0
FRT,2025-08-07,2025Q3,0.0,0.0,0.0
PAYC,2025-08-07,2025Q3,0.0,0.0,0.0
O,2025-08-07,2025Q3,0.0,0.0,0.0
TKO,2025-08-07,2025Q3,0.0,0.0,0.0
ABNB,2025-08-07,2025Q3,0.0,0.0,0.0
FTNT,2025-08-07,2025Q3,0.0,0.0,0.0
MCK,2025-08-07,2025Q3,0.0,0.0,0.0
PNW,2025-08-07,2025Q3,0.0,0.0,0.0
DVN,2025-08-07,2025Q3,0.0,0.0,0.0
NI,2025-08-07,2025Q3,0.0,0.0,0.0
MOS,2025-08-07,2025Q3,0.0,0.0,0.0
TECH,2025-08-07,2025Q3,0.0,0.0,0.0
CRL,2025-08-07,2025Q3,0.0,0.0,0.0
IFF,2025-08-07,2025Q3,0.0,0.0,0.0
NRG,2025-08-07,2025Q3,0.0,0.0,0.0
CDW,2025-08-07,2025Q3,0.0,0.0,0.0
COR,2025-08-07,2025Q3,0.0,0.0,0.0
IRM,2025-08-07,2025Q3,0.0,0.0,0.0
MCD,2025-08-07,2025Q3,0.0,0.0,0.0
ROK,2025-08-07,2025Q3,0.0,0.0,0.0
DIS,2025-08-07,2025Q3,0.0,0.0,0.0
AFL,2025-08-07,2025Q3,0.0,0.0,0.0
AIZ,2025-08-07,2025Q3,0.0,0.0,0.0
DAY,2025-08-07,2025Q3,0.0,0.0,0.0
GPN,2025-08-07,2025Q3,0.0,0.0,0.0
TRMB,2025-08-07,2025Q3,0.0,0.0,0.0
UBER,2025-08-07,2025Q3,0.0,0.0,0.0
EMR,2025-08-07,2025Q3,0.0,0.0,0.0
AMD,2025-08-06,2025Q3,0.0,0.0,0.0
DVA,2025-08-06,2025Q3,0.0,0.0,0.0
MTCH,2025-08-06,2025Q3,0.0,0.0,0.0
NWSA,2025-08-06,2025Q3,0.0,0.0,0.0
SMCI,2025-08-06,2025Q3,0.0,0.0,0.0
AMGN,2025-08-06,2025Q3,0.0,0.0,0.0
ANET,2025-08-06,2025Q3,0.0,0.0,0.0
SWKS,2025-08-06,2025Q3,0.0,0.0,0.0
BALL,2025-08-06,2025Q3,0.0,0.0,0.0
ETN,2025-08-06,2025Q3,0.0,0.0,0.0
EQR,2025-08-06,2025Q3,0.0,0.0,0.0
MPC,2025-08-06,2025Q3,0.0,0.0,0.0
OKE,2025-08-06,2025Q3,0.0,0.0,0.0
PEG,2025-08-06,2025Q3,0.0,0.0,0.0
TDG,2025-08-06,2025Q3,0.0,0.0,0.0
ADM,2025-08-06,2025Q3,0.0,0.0,0.0
CTRA,2025-08-06,2025Q3,0.0,0.0,0.0
CMI,2025-08-06,2025Q3,0.0,0.0,0.0
DUK,2025-08-06,2025Q3,0.0,0.0,0.0
J,2025-08-06,2025Q3,0.0,0.0,0.0
PFE,2025-08-06,2025Q3,0.0,0.0,0.0
PGR,2025-08-06,2025Q3,0.0,0.0,0.0
WMB,2025-08-06,2025Q3,0.0,0.0,0.0
FANG,2025-08-06,2025Q3,0.0,0.0,0.0
APO,2025-08-06,2025Q3,0.0,0.0,0.0
BR,2025-08-06,2025Q3,0.0,0.0,0.0
CAT,2025-08-06,2025Q3,0.0,0.0,0.0
FIS,2025-08-06,2025Q3,0.0,0.0,0.0
FOXA,2025-08-06,2025Q3,0.0,0.0,0.0
MAR,2025-08-06,2025Q3,0.0,0.0,0.0
TAP,2025-08-06,2025Q3,0.0,0.0,0.0
ZBRA,2025-08-06,2025Q3,0.0,0.0,0.0
ZTS,2025-08-06,2025Q3,0.0,0.0,0.0
YUM,2025-08-06,2025Q3,0.0,0.0,0.0
DD,2025-08-06,2025Q3,0.0,0.0,0.0
IT,2025-08-06,2025Q3,0.0,0.0,0.0
HSIC,2025-08-06,2025Q3,0.0,0.0,0.0
LDOS,2025-08-06,2025Q3,0.0,0.0,0.0
AFL,2025-08-05,2025Q3,0.0,0.0,0.0
AXON,2025-08-05,2025Q3,0.0,0.0,0.0
PLTR,2025-08-05,2025Q3,0.0,0.0,0.0
SBAC,2025-08-05,2025Q3,0.0,0.0,0.0
SPG,2025-08-05,2025Q3,0.0,0.0,0.0
VRTX,2025-08-05,2025Q3,0.0,0.0,0.0
ON,2025-08-05,2025Q3,0.0,0.0,0.0
TSN,2025-08-05,2025Q3,0.0,0.0,0.0
IDXX,2025-08-05,2025Q3,0.0,0.0,0.0
WAT,2025-08-05,2025Q3,0.0,0.0,0.0
CPT,2025-08-04,2025Q3,0.0,0.0,0.0
CVX,2025-08-04,2025Q3,0.0,0.0,0.0
LYB,2025-08-04,2025Q3,0.0,0.0,0.0
GWW,2025-08-04,2025Q3,0.0,0.0,0.0
AEE,2025-08-04,2025Q3,0.0,0.0,0.0
CHD,2025-08-04,2025Q3,0.0,0.0,0.0
D,2025-08-04,2025Q3,0.0,0.0,0.0
BEN,2025-08-04,2025Q3,0.0,0.0,0.0
AES,2025-08-04,2025Q3,0.0,0.0,0.0
XOM,2025-08-04,2025Q3,0.0,0.0,0.0
ES,2025-08-04,2025Q3,0.0,0.0,0.0
LIN,2025-08-04,2025Q3,0.0,0.0,0.0
CBOE,2025-08-04,2025Q3,0.0,0.0,0.0
CL,2025-08-04,2025Q3,0.0,0.0,0.0
MTD,2025-08-04,2025Q3,0.0,0.0,0.0
REGN,2025-08-04,2025Q3,0.0,0.0,0.0
EMN,2025-08-04,2025Q3,0.0,0.0,0.0
IR,2025-08-04,2025Q3,0.0,0.0,0.0
KMB,2025-08-04,2025Q3,0.0,0.0,0.0
MRNA,2025-08-04,2025Q3,0.0,0.0,0.0
TROW,2025-08-04,2025Q3,0.0,0.0,0.0
COIN,2025-08-01,2025Q3,0.0,0.0,0.0
AJG,2025-08-01,2025Q3,0.0,0.0,0.0
AMZN,2025-08-01,2025Q3,0.0,0.0,0.0
AAPL,2025-08-01,2025Q3,0.0,0.0,0.0
KLAC,2025-08-01,2025Q3,0.0,0.0,0.0
MPWR,2025-08-01,2025Q3,0.0,0.0,0.0
CLX,2025-08-01,2025Q3,0.0,0.0,0.0
EIX,2025-08-01,2025Q3,0.0,0.0,0.0
FSLR,2025-08-01,2025Q3,0.0,0.0,0.0
PSKY,2025-08-01,2025Q3,,,
RMD,2025-08-01,2025Q3,0.0,0.0,0.0
SYK,2025-08-01,2025Q3,0.0,0.0,0.0
AVB,2025-08-01,2025Q3,0.0,0.0,0.0
EXR,2025-08-01,2025Q3,0.0,0.0,0.0
SO,2025-08-01,2025Q3,0.0,0.0,0.0
PSA,2025-08-01,2025Q3,0.0,0.0,0.0
UDR,2025-08-01,2025Q3,0.0,0.0,0.0
HST,2025-08-01,2025Q3,0.0,0.0,0.0
HWM,2025-08-01,2025Q3,0.0,0.0,0.0
INVH,2025-08-01,2025Q3,0.0,0.0,0.0
PCG,2025-08-01,2025Q3,0.0,0.0,0.0
PPL,2025-08-01,2025Q3,0.0,0.0,0.0
PRU,2025-08-01,2025Q3,0.0,0.0,0.0
VMC,2025-08-01,2025Q3,0.0,0.0,0.0
EME,2025-08-01,2025Q3,,,
EXC,2025-08-01,2025Q3,0.0,0.0,0.0
IP,2025-08-01,2025Q3,0.0,0.0,0.0
MAA,2025-08-01,2025Q3,0.0,0.0,0.0
TYL,2025-08-01,2025Q3,0.0,0.0,0.0
VTR,2025-08-01,2025Q3,0.0,0.0,0.0
VICI,2025-08-01,2025Q3,0.0,0.0,0.0
XEL,2025-08-01,2025Q3,0.0,0.0,0.0
CMS,2025-08-01,2025Q3,0.0,0.0,0.0
ABBV,2025-08-01,2025Q3,0.0,0.0,0.0
AWK,2025-08-01,2025Q3,0.0,0.0,0.0
BLDR,2025-08-01,2025Q3,0.0,0.0,0.0
FE,2025-08-01,2025Q3,0.0,0.0,0.0
HII,2025-08-01,2025Q3,0.0,0.0,0.0
KKR,2025-08-01,2025Q3,0.0,0.0,0.0
