ticker,quarter,m01p01,0p1,0p2
A,2023Q4,0.09682184921981987,0.09682184921981987,0.09280131507201306
A,2024Q1,0.019060265575554652,0.026450418937650377,0.03224708983113511
A,2024Q2,-0.12476158192557961,-0.11621119540149118,-0.13572886190706474
A,2024Q3,0.012283718630554368,0.007599327335414065,-0.011208476568471716
A,2024Q4,-0.0001617903242075666,-0.0001617903242075666,0.028204581005012195
A,2025Q1,,,
A,2025Q2,,,
A,2025Q3,,,
AAPL,2023Q4,0.0034428562715105686,-0.00457258377203832,-0.00457258377203832
AAPL,2024Q1,-0.027373102500027995,-0.026619587408860383,-0.026619587408860383
AAPL,2024Q2,0.06344889559776741,0.06024590492703176,0.06024590492703176
AAPL,2024Q3,-0.005906442318446312,0.011538713445466602,0.011538713445466602
AAPL,2024Q4,-0.03700378197681767,-0.024156530938511115,-0.024156530938511115
AAPL,2025Q1,,,
AAPL,2025Q2,,,
AAPL,2025Q3,,,
ABBV,2023Q4,-0.03633591460624597,,
ABBV,2024Q1,0.02994163153781891,,
ABBV,2024Q2,-0.05143132432369431,,
ABBV,2024Q3,0.08759891271811854,0.05019318473197567,0.05019318473197567
ABBV,2024Q4,0.07741844249114573,0.07338410291109493,0.0768775481806902
ABBV,2025Q1,,,
ABBV,2025Q2,,,
ABBV,2025Q3,,,
ABNB,2023Q4,-0.08012845962893672,-0.07463162097856957,-0.03566196776130498
ABNB,2024Q1,0.004816123565565045,-0.034747881906277533,0.01666469164998246
ABNB,2024Q2,-0.09873666290597088,-0.0856396521505746,-0.0884696653360204
ABNB,2024Q3,-0.07762499628308227,-0.09596911224971885,-0.11141758712203334
ABNB,2024Q4,-0.05872649017458206,-0.05948602164510068,-0.05948602164510068
ABNB,2025Q1,,,
ABNB,2025Q2,,,
ABNB,2025Q3,,,
ABT,2023Q4,0.053005119974336955,0.05321287528844514,0.07609317451667705
ABT,2024Q1,-0.02932924456598833,-0.018925763772052268,-0.02204188249876323
ABT,2024Q2,-0.03501481098315571,-0.03908018134452592,-0.025736291744234377
ABT,2024Q3,0.02955482473190431,-0.011299151030910864,-0.011299151030910864
ABT,2024Q4,0.008576430003677055,0.014182140873027696,0.025170747657655645
ABT,2025Q1,,,
ABT,2025Q2,,,
ABT,2025Q3,,,
ACGL,2023Q4,0.03984399394837995,0.03984399394837995,0.0716843018994703
ACGL,2024Q1,0.04874225320162394,0.04180931191318308,0.02426072024150344
ACGL,2024Q2,0.028000172488307405,0.028000172488307405,0.053618125710183304
ACGL,2024Q3,-0.0175640946849619,-0.016252013017740305,0.004541809150624153
ACGL,2024Q4,-0.0672195762726643,-0.061981624105405336,-0.08393528385545454
ACGL,2025Q1,,,
ACGL,2025Q2,,,
ACGL,2025Q3,,,
ACN,2023Q3,-0.020779558736414003,-0.027359363800478487,-0.027359363800478487
ACN,2023Q4,-0.013092420937921255,,0.013525488311751436
ACN,2024Q1,-0.11734118181471681,-0.11586583239300932,-0.11586583239300932
ACN,2024Q2,0.08177063287459393,0.08177063287459393,0.08177063287459393
ACN,2024Q3,0.0296135915990012,0.03630625167984611,0.03630625167984611
ACN,2024Q4,0.02813677056924281,0.03875441332055404,0.03875441332055404
ACN,2025Q1,,,
ACN,2025Q2,,,
ADBE,2023Q4,-0.0871860181548554,-0.0871913153970651,-0.09370269150176971
ADBE,2024Q1,-0.13194916664480044,-0.12668275811249705,-0.12668275811249705
ADBE,2024Q2,0.12146693626440791,0.13354958859456573,0.13354958859456573
ADBE,2024Q3,-0.0664904205517227,-0.0650419844074252,-0.0650419844074252
ADBE,2024Q4,-0.1304924219360013,-0.14054851678247274,-0.1609975375030886
ADBE,2025Q1,,,
ADBE,2025Q2,,,
ADBE,2025Q3,,,
ADI,2023Q4,-0.009656637284802056,-0.005582689098401801,-0.005582689098401801
ADI,2024Q1,0.010313222795953848,-0.008319948768542584,-0.018879104184092
ADI,2024Q2,0.10139277210897778,0.10590865769886162,0.08817921886975652
ADI,2024Q3,-0.0021771905470176402,0.0001274458315797724,0.004043024211337712
ADI,2024Q4,0.008309656665596226,-0.029179264241347713,-0.029179264241347713
ADI,2025Q1,,,
ADI,2025Q2,,,
ADI,2025Q3,,,
ADM,2023Q4,-0.01223660908912922,-0.013533362529600489,-0.002175886233785935
ADM,2024Q1,0.05476211546185572,0.060962024445832416,0.06160515404575062
ADM,2024Q2,-0.002737536539954172,-0.015748258687637615,0.004981695723980967
ADM,2024Q3,-0.04410616480275861,-0.0342831130824301,-0.03162929553413084
ADM,2024Q4,0.005308135161671246,0.005308135161671246,0.016469564528996568
ADM,2025Q1,,,
ADM,2025Q2,,,
ADM,2025Q3,,,
ADP,2023Q4,-0.08285779932084116,-0.06753105623346138,-0.07398122275604639
ADP,2024Q1,0.038292433835225875,0.03352778709987875,0.042088428771196715
ADP,2024Q2,0.0008669939148414248,0.003809806301800101,0.0005715904898834236
ADP,2024Q3,0.03514969125264005,0.007362844124405233,0.017868390620662353
ADP,2024Q4,0.016592683045486705,0.008173520389330224,0.0055297436971566485
ADP,2025Q1,,,
ADP,2025Q2,,,
ADP,2025Q3,,,
ADSK,2023Q4,-0.08108280479205762,-0.0799975403572157,-0.0799975403572157
ADSK,2024Q1,0.01718416149075598,0.016908021336357125,0.016908021336357125
ADSK,2024Q2,0.015648566725175575,0.008903573013707061,0.012438257333920498
ADSK,2024Q3,-0.003665278174292479,-0.003444066429562454,-0.003444066429562454
ADSK,2024Q4,-0.10388027496578686,-0.09032624524846387,-0.09032624524846387
ADSK,2025Q1,,,
ADSK,2025Q2,,,
ADSK,2025Q3,,,
AEE,2023Q4,-0.03013333853581721,-0.015637338186627006,-0.019333468719128867
AEE,2024Q1,0.02920066283719832,0.008701694757533686,0.008701694757533686
AEE,2024Q2,0.011773231335487614,0.003282562606245402,0.003282562606245402
AEE,2024Q3,0.037765222126453654,0.06997515071673102,0.06997515071673102
AEE,2024Q4,-0.003343596090903775,-0.020544274840480704,0.024821236367040023
AEE,2025Q1,,,
AEE,2025Q2,,,
AEE,2025Q3,,,
AEP,2023Q4,0.02767912377599236,0.011328133161809875,0.011328133161809875
AEP,2024Q1,0.018893792179318657,0.018893792179318657,0.00246970304866867
AEP,2024Q2,0.04261947791788315,0.02379531900943651,0.027792656351491578
AEP,2024Q3,0.012043140474270884,0.0010257118345078746,0.05794880115589647
AEP,2024Q4,-0.0369343309044563,-0.053864789973916596,-0.042855178542923415
AEP,2025Q1,,,
AEP,2025Q2,,,
AEP,2025Q3,,,
AES,2023Q4,,,
AES,2024Q1,-0.049088767853193466,,0.010631086230216854
AES,2024Q2,,,
AES,2024Q3,,,
AES,2024Q4,,,
AES,2025Q1,,,
AES,2025Q2,,,
AES,2025Q3,,,
AFL,2023Q4,0.011160834118439735,0.00817960047029823,0.003250611747195877
AFL,2024Q1,-0.1028527511430896,-0.10688834266984498,-0.10271132969806543
AFL,2024Q2,0.007835851427707263,0.009403599239487134,-0.004755891433265342
