ticker,fiscal_quarter,TariffSent_mean_call_all,TariffSent_neg_call_all,TariffSent_pos_call_all,TariffSent_fwd_call_all,TariffMentions_call_all,TariffSent_mean_call_prep,TariffSent_mean_call_qna,TariffSent_mean_press_all,TariffMentions_press_all,CAR_press_mkt_0p1,CAR_press_mkt_m01p01,CAR_press_mkt_0p2
A,2024Q1,-0.2499739861989454,0.499974940314992,0.2500009541160466,0.5,4,,-0.2499739861989454,,,0.0361718,0.0442037,0.0484686999999999
A,2024Q2,-0.40686432765123753,0.40734276989242063,0.00047844224118307464,0.0,5,,-0.40686432765123753,,,-0.10435,-0.122695,-0.10435
A,2024Q3,-0.2002023604880378,0.40047955586032913,0.20027719537229133,0.4,5,,-0.2002023604880378,,,0.0062416,0.0079054,0.0062416
A,2024Q4,-0.16103307893955224,0.16108509613558925,5.201719603703098e-05,0.07692307692307693,13,,-0.16103307893955224,,,0.027159,0.031973,0.027159
A,2025Q1,-0.27475373801936104,0.42110731402637686,0.14635357600701582,0.19047619047619047,21,,-0.27475373801936104,,,0.0,0.0,0.0
A,2025Q2,0.1601752733475468,0.09740623725345551,0.2575815106010023,0.21875,64,,0.1601752733475468,,,0.0,0.0,0.0
A,2025Q3,0.2797145889220443,0.15381164420362792,0.43352623312567223,0.17777777777777778,45,,0.2797145889220443,,,0.0,0.0,0.0
AAPL,2024Q1,-0.6041115244758893,0.6588879173331558,0.05477639285726651,0.25,12,-0.6041115244758893,,,0.0,-0.0055061,0.0077098,-0.0055061
AAPL,2024Q2,0.3666068172404668,0.09255054346928104,0.45915736070974783,0.09090909090909091,11,0.3666068172404668,,,0.0,0.059696,0.081625,0.059696
AAPL,2024Q3,-0.7815097908787095,0.7847898397652898,0.003280048886580289,0.2,5,-0.7815097908787095,,,0.0,0.0070778,-0.0095143999999999,0.0070778
AAPL,2024Q4,-0.33374331567877863,0.34980334345406544,0.016060027775286773,0.0,3,-0.33374331567877863,,,0.0,-0.013329,-0.0313597,-0.013329
AAPL,2025Q1,-0.14276889366000675,0.34425853912656373,0.20148964546655695,0.09090909090909091,11,-0.14276889366000675,,,0.0,0.0,0.0,0.0
AAPL,2025Q2,-0.07167021811639747,0.2072157953736436,0.1355455772572461,0.16129032258064516,31,-0.07167021811639747,,,0.0,0.0,0.0,0.0
AAPL,2025Q3,-0.02338875580496705,0.09222198363828284,0.06883322783331579,0.12,25,-0.02338875580496705,,,0.0,0.0,0.0,0.0
ABBV,2024Q1,-0.08161817903572784,0.3327209502217591,0.25110277118603125,0.3333333333333333,12,,-0.08161817903572784,,0.0,0.0009396,0.0009396,0.0167824
ABBV,2024Q1,-0.08161817903572784,0.3327209502217591,0.25110277118603125,0.3333333333333333,12,,-0.08161817903572784,,0.0,0.0063429,0.0256218,0.0063429
ABBV,2024Q2,0.09712979508035147,0.28950952153519655,0.386639316615548,0.08333333333333333,12,,0.09712979508035147,,0.0,-0.0406592,-0.0592733,-0.0406592
ABBV,2024Q2,0.09712979508035147,0.28950952153519655,0.386639316615548,0.08333333333333333,12,,0.09712979508035147,,0.0,-0.0459551,-0.0489492,-0.0459551
ABBV,2024Q3,-3.9248005577974254e-05,0.0001308322557633801,9.158425018540584e-05,0.5,2,,-3.9248005577974254e-05,,0.0,0.0207629,0.0207629,0.0207629
ABBV,2024Q3,-3.9248005577974254e-05,0.0001308322557633801,9.158425018540584e-05,0.5,2,,-3.9248005577974254e-05,,0.0,0.0501518,0.0680627,0.0501518
ABBV,2024Q4,-0.3735710825767602,0.626679273113389,0.2531081905366288,0.125,16,-0.3735710825767602,,,0.0,-0.0060397,-0.0129794,-0.0060397
ABBV,2024Q4,-0.3735710825767602,0.626679273113389,0.2531081905366288,0.125,16,-0.3735710825767602,,,0.0,0.0755756,0.0743459,0.0739566
ABBV,2025Q1,-0.2641600909088369,0.2643263706450081,0.00016627973617119957,0.09090909090909091,33,-0.2641600909088369,,,0.0,0.0,0.0,0.0
ABBV,2025Q1,-0.2641600909088369,0.2643263706450081,0.00016627973617119957,0.09090909090909091,33,-0.2641600909088369,,,0.0,0.0,0.0,0.0
ABBV,2025Q2,-0.16904705575129464,0.18936459239557735,0.020317536644282708,0.0,8,,-0.16904705575129464,,0.0,0.0,0.0,0.0
ABBV,2025Q2,-0.16904705575129464,0.18936459239557735,0.020317536644282708,0.0,8,,-0.16904705575129464,,0.0,0.0,0.0,0.0
ABNB,2024Q1,0.21894455715647432,0.14215314148211355,0.36109769863858787,0.0,8,,0.21894455715647432,,,0.0464777999999999,0.0272596999999999,0.0136796999999999
ABNB,2024Q2,0.14266759791273284,0.1428536524817794,0.28552125039451226,0.0,7,,0.14266759791273284,,,-0.073743,-0.0856879999999999,-0.073743
ABNB,2024Q3,0.20721112035075748,0.19171531179426893,0.39892643214502643,0.0,5,,0.20721112035075748,,,-0.1195604,-0.0784846,-0.1157676
ABNB,2024Q4,0.31506760214100993,0.02032630177090174,0.33539390391191165,0.0,6,,0.31506760214100993,,,-0.08663,-0.040853,-0.08663
ABNB,2025Q1,-0.3439607967995512,0.4353127193925585,0.09135192259300724,0.0,11,,-0.3439607967995512,,,0.0,0.0,0.0
ABNB,2025Q2,0.2491135349091148,0.0010124842548780988,0.2501260191639929,0.125,8,,0.2491135349091148,,,0.0,0.0,0.0
ABT,2024Q1,-0.48386185139103927,0.6522753631649832,0.16841351177394395,0.0,6,,-0.48386185139103927,,0.0,-0.0132154,-0.0149036,-0.0171286
ABT,2024Q2,0.3337751681468906,0.0002663833756173517,0.334041551522508,0.0,6,,0.3337751681468906,,0.0,-0.0361712,-0.0332113,-0.0169973
ABT,2024Q3,0.9938285338575952,0.00036507967161014676,0.9941936135292053,0.0,1,,0.9938285338575952,,0.0,-0.0242942,-0.0050663,-0.0242942
ABT,2024Q4,-0.20306762681368834,0.2380825532215264,0.03501492640783807,0.0,9,,-0.20306762681368834,,0.0,0.0157956,0.0103219,0.0284818999999999
ABT,2025Q1,0.16500211335889042,0.06401309579818634,0.22901520915707677,0.19230769230769232,26,,0.16500211335889042,,0.0,0.0,0.0,0.0
ABT,2025Q2,-0.04668725330878167,0.3165531559297108,0.26986590262092913,0.3181818181818182,22,,-0.04668725330878167,,0.0,0.0,0.0,0.0
ACGL,2024Q1,0.9997672582134101,2.240673211417743e-07,0.9997674822807312,0.0,2,,0.9997672582134101,,0.0,0.0150317999999999,0.0245516999999999,0.0150317999999999
