DateTime,Title,Type,Ticker
Sep-23-2025 6:00 PM,"Micron Technology, Inc., Q4 2025 Earnings Call, Sep 23, 2025Company: Micron Technology, Inc. (NasdaqGS:MU) Tier 1",Earnings Call,MU
Sep-23-2025 4:30 PM,"Micron Technology, Inc., Q4 2025 Earnings Call, Sep 23, 2025 ETA for Final Copy: Sep-23-2025Company: Micron Technology, Inc. (NasdaqGS:MU) Tier 1This is a preliminary transcription.",Earnings Call,MU
Sep-23-2025 10:00 AM,"AutoZone, Inc., Q4 2025 Earnings Call, Sep 23, 2025Company: AutoZone, Inc. (NYSE:AZO) Tier 1",Earnings Call,AZO
Sep-19-2025 11:00 AM,"Lennar Corporation, Q3 2025 Earnings Call, Sep 19, 2025Company: Lennar Corporation (NYSE:LEN) Tier 1",Earnings Call,LEN
Sep-18-2025 5:30 PM,"FedEx Corporation, Q1 2026 Earnings Call, Sep 18, 2025Company: FedEx Corporation (NYSE:FDX) Tier 1",Earnings Call,FDX
Sep-18-2025 9:00 AM,"FactSet Research Systems Inc., Q4 2025 Earnings Call, Sep 18, 2025Company: FactSet Research Systems Inc. (NYSE:FDS) Tier 1",Earnings Call,FDS
Sep-18-2025 8:30 AM,"Darden Restaurants, Inc., Q1 2026 Earnings Call, Sep 18, 2025Company: Darden Restaurants, Inc. (NYSE:DRI) Tier 1",Earnings Call,DRI
Sep-17-2025 9:00 AM,"General Mills, Inc., Q1 2026 Earnings Call, Sep 17, 2025Company: General Mills, Inc. (NYSE:GIS) Tier 1",Earnings Call,GIS
Sep-11-2025 5:00 PM,"Adobe Inc., Q3 2025 Earnings Call, Sep 11, 2025Company: Adobe Inc. (NasdaqGS:ADBE) Tier 1",Earnings Call,ADBE
Sep-11-2025 10:00 AM,"The Kroger Co., Q2 2026 Earnings Call, Sep 11, 2025Company: The Kroger Co. (NYSE:KR) Tier 1",Earnings Call,KR
Sep-09-2025 5:00 PM,"Oracle Corporation, Q1 2026 Earnings Call, Sep 09, 2025Company: Oracle Corporation (NYSE:ORCL) Tier 1",Earnings Call,ORCL
Sep-09-2025 5:00 PM,"Synopsys, Inc., Q3 2025 Earnings Call, Sep 09, 2025Company: Synopsys, Inc. (NasdaqGS:SNPS) Tier 1",Earnings Call,SNPS
Sep-04-2025 5:30 PM,"Copart, Inc., Q4 2025 Earnings Call, Sep 04, 2025Company: Copart, Inc. (NasdaqGS:CPRT) Tier 1",Earnings Call,CPRT
Sep-04-2025 5:00 PM,"Broadcom Inc., Q3 2025 Earnings Call, Sep 04, 2025Company: Broadcom Inc. (NasdaqGS:AVGO) Tier 1",Earnings Call,AVGO
Sep-04-2025 4:30 PM,"lululemon athletica inc., Q2 2026 Earnings Call, Sep 04, 2025Company: lululemon athletica inc. (NasdaqGS:LULU) Tier 1",Earnings Call,LULU
Sep-03-2025 5:00 PM,"Hewlett Packard Enterprise Company, Q3 2025 Earnings Call, Sep 03, 2025Company: Hewlett Packard Enterprise Company (NYSE:HPE) Tier 1",Earnings Call,HPE
Sep-03-2025 5:00 PM,"Salesforce, Inc., Q2 2026 Earnings Call, Sep 03, 2025Company: Salesforce, Inc. (NYSE:CRM) Tier 1",Earnings Call,CRM
Sep-03-2025 8:00 AM,"Dollar Tree, Inc., Q2 2026 Earnings Call, Sep 03, 2025Company: Dollar Tree, Inc. (NasdaqGS:DLTR) Tier 1",Earnings Call,DLTR
Sep-03-2025 8:00 AM,"The Campbell's Company, Q4 2025 Earnings Call, Sep 03, 2025Company: The Campbell's Company (NasdaqGS:CPB) Tier 1",Earnings Call,CPB
Aug-28-2025 5:00 PM,"Autodesk, Inc., Q2 2026 Earnings Call, Aug 28, 2025Company: Autodesk, Inc. (NasdaqGS:ADSK) Tier 1",Earnings Call,ADSK
Aug-28-2025 4:30 PM,"Dell Technologies Inc., Q2 2026 Earnings Call, Aug 28, 2025Company: Dell Technologies Inc. (NYSE:DELL) Tier 1",Earnings Call,DELL
Aug-28-2025 4:30 PM,"Ulta Beauty, Inc., Q2 2026 Earnings Call, Aug 28, 2025Company: Ulta Beauty, Inc. (NasdaqGS:ULTA) Tier 1",Earnings Call,ULTA
Aug-28-2025 10:00 AM,"Brown-Forman Corporation, Q1 2026 Earnings Call, Aug 28, 2025Company: Brown-Forman Corporation (NYSE:BF.B) Tier 1",Earnings Call,BF.B
