id,quarter,ann_time,t0,source_pdf,TariffMentions_call_all,TariffSent_mean_call_all,TariffSent_shareNeg_call_all,TariffSent_fwd_call_all,TariffMentions_call_prep,TariffSent_mean_call_prep,TariffSent_shareNeg_call_prep,TariffSent_fwd_call_prep,TariffMentions_call_qna,TariffSent_mean_call_qna,TariffSent_shareNeg_call_qna,TariffSent_fwd_call_qna
AOS,2024Q1,2024-01-30 15:00:00+00:00,2024-01-30,"A. O. Smith Corporation, Q4 2023 Earnings Call, Jan 30, 2024.pdf",2,0.0,0.0,0.0,2,0.0,0.0,0.0,0,,,
AOS,2025Q2,2025-04-29 14:00:00+00:00,2025-04-29,"A. O. Smith Corporation, Q1 2025 Earnings Call, Apr 29, 2025.pdf",42,0.07142857142857142,0.07142857142857142,0.1111111111111111,17,0.0,0.11764705882352941,0.14285714285714285,25,0.12,0.04,0.0
MMM,2025Q1,2025-01-21 14:00:00+00:00,2025-01-21,"3M Company, Q4 2024 Earnings Call, Jan 21, 2025.pdf",9,0.1111111111111111,0.0,,2,0.5,0.0,,7,0.0,0.0,
MMM,2025Q2,2025-04-22 13:00:00+00:00,2025-04-22,"3M Company, Q1 2025 Earnings Call, Apr 22, 2025.pdf",31,-0.11612903225806451,0.22580645161290322,0.0,9,0.1111111111111111,0.0,0.0,22,-0.20909090909090908,0.3181818181818182,0.0
,2025Q2,2025-05-01 12:30:00+00:00,2025-05-01,"AMETEK, Inc., Q1 2025 Earnings Call, May 01, 2025.pdf",36,-0.05555555555555555,0.25,1.0,7,0.14285714285714285,0.14285714285714285,1.0,29,-0.10344827586206896,0.27586206896551724,
AOS,2025Q3,2025-07-24 14:00:00+00:00,2025-07-24,"A. O. Smith Corporation, Q2 2025 Earnings Call, Jul 24, 2025.pdf",25,0.12,0.04,0.5,8,0.375,0.0,0.6666666666666666,17,0.0,0.058823529411764705,0.0
AOS,2025Q1,2025-01-30 15:00:00+00:00,2025-01-30,"A. O. Smith Corporation, Q4 2024 Earnings Call, Jan 30, 2025.pdf",8,-0.125,0.125,0.0,5,-0.2,0.2,0.0,3,0.0,0.0,
MMM,2024Q1,2024-01-23 14:00:00+00:00,2024-01-23,"3M Company, Q4 2023 Earnings Call, Jan 23, 2024.pdf",0,,,,0,,,,0,,,
,2025Q3,2025-07-31 12:30:00+00:00,2025-07-31,"AMETEK, Inc., Q2 2025 Earnings Call, Jul 31, 2025.pdf",15,0.2,0.06666666666666667,1.0,1,1.0,0.0,,14,0.14285714285714285,0.07142857142857142,1.0
,2024Q1,2024-02-06 13:30:00+00:00,2024-02-06,"AMETEK, Inc., Q4 2023 Earnings Call, Feb 06, 2024.pdf",0,,,,0,,,,0,,,
